Methotrexate
683665	1
684055	1
684057	1
684059	1
684062	1
684072	1
687448	0
687562	0
687568	0
687590	0
687600	0
687799	0
687807	0
687983	0
687997	0
688001	1
688006	0
688007	1
688010	1
688013	1
688014	0
688018	1
688021	0
688023	1
688025	1
688026	1
688027	1
688031	1
688086	0
688087	0
688121	0
713878	1
713885	1
724859	1
724863	0
724866	0
724872	0
735784	0
749711	0
749715	0
749716	0
753531	1
753532	0
753546	0
753547	1
753548	1
753549	0
753551	1
753552	1
753555	0
753558	0
753563	1
753564	1
753565	0
753577	0
753578	0
753579	0
753581	0
753582	0
753583	0
753584	0
753588	1
753589	0
753592	0
753594	1
753595	0
753596	0
753599	0
753605	0
753612	0
753614	0
753616	0
753620	1
753621	1
753622	0
753623	0
905938	1
905940	0
905941	0
905942	1
905952	1
905955	0
905958	1
905964	1
905965	1
905967	0
905970	1
905971	1
905972	0
905974	1
905977	0
905978	0
905980	0
905982	0
905984	0
905986	0
905989	1
905990	0
906746	0
906763	1
906765	1
906794	0
906800	1
906808	0
906812	0
906813	1
906831	1
906832	1
906834	0
906836	1
906838	1
906841	0
906842	1
906844	1
906846	1
906847	1
906854	0
906855	1
906856	1
906861	1
906862	0
906869	0
906870	0
906871	0
906872	1
906875	0
906877	1
907043	1
907044	1
907050	1
907053	1
907056	1
907067	0
907073	0
907170	1
907172	1
907173	0
907175	1
907268	1
907269	1
907270	1
907271	0
907272	1
907273	1
907274	1
907275	1
907277	1
907278	1
907279	1
907280	1
907282	0
907290	0
907300	0
907311	1
907313	0
907314	0
907322	1
907323	1
907783	1
907786	0
907787	1
907788	0
907789	0
907791	0
907792	0
907794	1
907795	0
907799	1
908126	1
908135	1
908136	1
908141	1
908142	1
908143	1
908148	1
908149	0
908150	0
908151	0
908152	1
908156	1
908158	1
908159	1
908440	0
908444	1
908445	0
908446	1
908447	0
908448	1
908449	0
908450	0
908451	1
908452	0
908454	0
908457	0
908458	1
908467	1
908469	0
908471	0
908473	1
908483	1
909248	1
909249	1
909250	0
909252	1
909253	1
909256	0
909260	1
909262	1
909696	1
909697	0
909698	0
909701	0
909702	1
909703	1
909711	0
909712	0
909713	0
909717	0
909720	0
909722	1
909723	0
909731	0
909732	0
909743	1
909754	0
909756	0
909758	0
909769	0
909771	1
909773	1
909777	1
909785	1
909974	0
909975	0
909976	1
910401	1
910544	1
910545	1
910546	1
910554	0
910566	1
910567	1
910568	1
910569	1
910687	1
910688	1
910691	1
910692	1
