Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
910554	-2.520942	2.903946	-0.238455	1.768921	0.87748	3.138601	0.688929	-2.540891	3.094222	2.592388
910569	-1.622168	3.698119	1.715276	1.281931	1.559683	1.714239	5.011901	-2.815898	2.2824	4.532042
910689	NA	NA	3.507548	NA	0.185063	NA	NA	NA	NA	NA
910700	0.503885	5.550324	NA	1.572475	-0.301174	4.02682	2.136481	-1.843	4.157261	2.559281
910704	-3.140216	2.736257	-1.595518	1.50308	1.245524	2.589109	0.380939	-1.822944	2.152919	2.881952
910852	-1.17757	5.072271	2.761687	0.900091	NA	3.49283	2.699723	-3.288078	3.071853	1.802664
910905	-0.237601	3.831394	3.229012	0.041827	-1.524252	1.731556	6.556414	3.330698	3.883027	-1.591599
910927	-3.521093	3.439888	2.97682	0.72842	0.360008	4.454655	3.886035	-4.803482	3.258953	2.782229
910948	2.776031	6.680041	3.117772	0.569064	3.515207	5.824728	6.057828	-1.103693	3.030738	3.419362
917486	-1.050013	3.814954	2.794807	2.310934	0.048561	2.774199	5.574123	-0.708637	4.451848	1.517808
924106	-4.684976	2.657877	1.643514	-1.424056	1.147103	5.386567	4.527207	-3.833771	1.017433	4.951488
924108	-2.761606	6.882031	2.047386	0.687504	0.3512	3.98807	2.757752	-2.158893	2.90715	3.011767
924240	0.57138	5.326592	2.336167	1.550675	0.936306	4.800814	3.676401	-2.413967	3.873013	2.645121
925338	NA	NA	3.791044	NA	1.958746	NA	NA	NA	NA	NA
946359	3.556764	7.667027	NA	1.079199	3.552785	5.467238	0.954036	-1.770203	1.744584	4.65372
946382	-0.630463	4.737846	3.289331	2.125975	1.784601	4.396507	3.970361	-1.46353	4.133809	3.498255
949093	2.115236	8.557196	5.355676	3.541277	NA	7.097372	5.386595	2.779084	3.74657	6.541927
998189	-2.866705	4.418844	2.05496	0.952395	-1.29801	4.312526	2.855713	-1.346212	3.100132	1.064187
1240123	-2.553237	2.445155	-2.571922	0.376945	-0.674684	2.386678	-0.616435	-1.413312	2.163268	1.512205
1240124	-3.868761	5.468027	1.611834	3.828832	-3.093107	3.269257	6.231616	-3.178032	4.515697	0.498963
1240172	-1.635276	4.877154	4.451684	3.021548	2.384551	4.309859	4.98125	-1.119935	4.650508	3.725501
1240173	NA	NA	1.892428	NA	-2.702481	NA	NA	NA	NA	NA
1290769	-1.605026	7.560484	NA	4.522143	-3.433978	4.53498	7.64047	-0.114725	4.646962	0.428639
1290771	-2.68195	5.003134	4.271923	1.933203	0.534551	2.705263	3.94196	0.426359	5.408584	-2.818411
1290798	1.431538	6.880987	1.015272	0.874352	NA	4.99145	1.433425	-1.500553	2.249805	4.321568
1290905	2.703446	8.29764	2.456274	6.995479	4.166754	6.439983	6.174605	0.48671	7.923469	5.61971
1290922	-1.283605	5.3729	0.326535	-0.215619	-0.282167	2.042423	-0.025162	-3.166615	2.795245	2.309623
1298157	-0.897835	5.883282	2.082025	0.591278	2.191239	3.540495	2.345897	-3.39008	3.06905	5.015643
1303900	-1.085408	5.449026	1.083131	4.33161	2.050385	5.619437	5.200946	-1.270058	4.973293	2.809834
1330941	2.042513	6.175894	-1.760659	-0.721156	2.435726	3.983124	1.410848	-3.181965	0.097929	2.862386
1659823	0.754433	5.724786	0.642952	2.420391	1.761364	4.614298	3.64433	0.165037	5.062294	2.576529
1659928	-3.412054	2.883979	0.696727	1.362077	-1.53968	2.294897	1.369428	-1.816631	3.300677	0.223826
1660034	-1.425613	2.896717	1.495305	0.808834	-1.224184	2.870929	2.871799	-1.311968	2.746596	0.991984
1660036	-0.333842	3.166181	2.763595	1.857063	-0.518409	4.442269	4.186651	1.625	4.347568	2.168135
1674021	-2.502602	3.07391	2.151734	0.774787	-0.15065	4.324104	5.502051	-1.991703	3.198049	1.626284
683665	-1.746082	5.414833	1.985442	3.551974	0.629001	3.850741	4.026168	-1.699887	4.091004	3.80926
683667	-2.006249	5.346672	1.401843	0.675319	1.459241	1.3924	4.225984	-3.36606	2.342297	3.904334
684052	-4.962337	4.256045	2.068806	1.594148	0.493415	1.766885	4.634573	-3.53048	2.579876	3.549507
684057	-2.509709	4.338017	1.320712	-0.571045	0.336156	1.331291	4.492384	-2.985962	1.033852	3.326388
684059	-5.239445	2.886425	1.324358	1.753802	1.530523	2.898182	3.461821	-2.471112	2.898385	2.94468
684062	NA	NA	1.430359	NA	2.364375	NA	NA	NA	NA	NA
684072	-5.109751	3.921004	NA	0.40858	1.008517	1.06539	5.049021	-3.044577	2.64645	3.194573
687448	-1.206706	9.126546	4.240014	4.693593	-2.730205	5.631559	5.622865	-0.339189	6.517062	0.132018
687452	NA	NA	-0.036451	NA	NA	NA	NA	NA	NA	NA
687455	-2.798417	4.323227	NA	2.720371	1.258749	4.526488	3.518273	1.549368	4.404476	1.253466
687457	NA	NA	3.27999	NA	0.127149	NA	NA	NA	NA	NA
687459	-1.865504	6.228839	NA	3.864063	NA	4.377626	4.901395	-1.125573	4.316762	5.614482
687505	-3.640911	3.728778	0.231021	2.345041	0.878304	4.223863	1.629306	-3.668419	5.160706	2.010585
687506	-1.73874	5.322872	0.871875	2.509599	NA	4.120412	3.890242	-3.364286	4.759929	2.423555
687514	-3.594401	4.792752	0.388264	-0.587947	0.834432	5.427955	1.224337	-2.411171	1.636723	3.111872
